,0,1
0,13.0,2.63671628834949
1,10.0,3.026863869316844
2,10.0,0.0
3,2.0,0.0
4,2.0,0.0
5,2.0,0.0
6,2.0,0.0
7,2.0,0.0
8,12.0,7.007355448407768
9,14.0,1.0942890722320862
10,10.0,0.0
11,6.0,0.0
12,0.0,0.0
13,10.0,0.0
14,13.0,2.63671628834949
15,6.0,2.5973888162021104
16,20.0,0.0
17,13.0,0.0
18,14.0,1.5927324208427402
19,16.0,3.0929328825447278
20,11.0,2.7586934757618016
21,14.0,1.8359856077832124
22,11.0,1.6042422288442446
23,3.0,0.0
24,1.0,0.0
25,10.0,0.0
26,12.0,0.0
27,11.0,2.4382193240901846
28,10.0,0.0
29,11.0,3.1617129317083488
30,12.0,0.0
31,0.0,1.512215779709885
32,10.0,0.0
33,9.0,0.0
34,8.0,0.0
35,11.0,2.639505902817598
36,7.0,0.0
37,14.0,1.9317634525920526
38,14.0,2.0869413273013375
39,14.0,1.8981650034520208
40,11.0,2.4382193240901846
41,11.0,3.1617129317083488
42,12.0,7.007355448407768
43,14.0,1.3174233903953243
44,13.0,2.63671628834949
45,6.0,2.5973888162021104
46,14.0,1.0942890722320862
47,20.0,0.0
48,13.0,0.0
49,10.0,0.0
50,13.0,2.63671628834949
51,12.0,0.0
52,19.0,0.0
53,19.0,1.5219178085318652
54,10.0,3.256229472922634
55,13.0,1.9898824332427842
56,11.0,1.2426406871192854
57,11.0,1.424583185188868
58,11.0,0.0
59,14.0,0.0
60,19.0,2.060686454202045
61,11.0,1.8903949663515163
62,20.0,1.3422053457519103
63,2.0,1.7573593128807155
64,10.0,0.0
65,14.0,1.5927324208427402
66,2.0,0.0
67,2.0,0.0
68,2.0,0.0
69,2.0,0.0
70,2.0,0.0
71,16.0,3.0929328825447278
72,11.0,4.45815077346787
73,6.0,0.0
74,0.0,0.0
75,9.0,0.0
76,8.0,0.0
77,2.0,2.42689656655029
78,14.0,1.3893145240028848
79,2.0,2.42689656655029
80,18.0,0.0
81,2.0,2.31842798442655
82,2.0,2.5307203659225204
83,14.0,1.5741369399225555
84,0.0,1.512215779709885
85,14.0,1.3174233903953243
